Validation Accuracy	Validation Loss	Training Accuracy	Training Loss
0.10666667	9713759.0	0.1088	10446.893
0.06	217051100000.0	0.036	10150246.0
0.06	147623000000.0	0.032	224521490000.0
0.28	7982220300.0	0.2384	153507630000.0
0.06	31908465000.0	0.0368	6831788000.0
0.08	59500495000.0	0.104	33287184000.0
0.25	65966383000.0	0.2816	53472910000.0
0.16666667	229543310000.0	0.14	63245900000.0
0.11666667	23362486000.0	0.124	242579080000.0
0.16666667	132499150000.0	0.1344	21564086000.0
0.10666667	631947460000.0	0.104	136046390000.0
0.013333334	253911170000.0	0.0216	606099900000.0
0.25666666	161113080000.0	0.2736	217299580000.0
0.06	384296500000.0	0.0432	148859080000.0
0.28	198804830000.0	0.2776	396788370000.0
0.28	148977700000.0	0.2424	197145020000.0
0.16666667	229809260000.0	0.1424	145411360000.0
0.123333335	139192940000.0	0.1048	239627120000.0
0.18666667	222593660000.0	0.2192	136519565000.0
0.08	213922730000.0	0.0992	203899570000.0
0.26	138985670000.0	0.2576	193140100000.0
0.42	78406240000.0	0.4008	126661690000.0
0.24333334	53636764000.0	0.2392	74162290000.0
0.06666667	246863430000.0	0.0496	55349040000.0
0.24666667	44293810000.0	0.2408	251089320000.0
0.24	56065300000.0	0.2432	44458242000.0
0.24	47634547000.0	0.2296	56605100000.0
0.36	40213170000.0	0.324	47392430000.0
0.33666667	41393150000.0	0.3016	40396194000.0
0.34	49154003000.0	0.2904	46030344000.0
0.29333332	58599346000.0	0.2752	50563125000.0
0.53	43237913000.0	0.4896	61492785000.0
0.36666667	37239718000.0	0.3888	47201550000.0
0.06333333	49695973000.0	0.0416	39581594000.0
0.10333333	29022667000.0	0.132	51467284000.0
0.44	18046228000.0	0.4496	29748447000.0
0.35333332	23802421000.0	0.3784	19587811000.0
0.43	19797098000.0	0.4728	23811486000.0
0.57666665	16141858000.0	0.572	20739883000.0
0.57666665	13392256000.0	0.5632	17888370000.0
0.50666666	10736387000.0	0.516	15068182000.0
0.47	12519037000.0	0.4768	10835863000.0
0.25	16151396000.0	0.2536	11990547000.0
0.69	11222331000.0	0.6792	17725070000.0
0.38	11719882000.0	0.4072	10196104000.0
0.58	6063681500.0	0.5896	11186387000.0
0.7266667	4620314000.0	0.72	6569477000.0
0.56333333	3848661500.0	0.6096	4741690400.0
0.81	1435102200.0	0.8064	4008332000.0
0.81333333	2431009500.0	0.7936	1459930500.0
0.72333336	3774604800.0	0.6896	2158531000.0
0.62	4045072400.0	0.5928	4154135600.0
0.81666666	2851055000.0	0.8152	3994641000.0
0.7733333	1937448600.0	0.7656	2939020000.0
0.67333335	1513111200.0	0.7136	2545393000.0
0.68333334	1858990500.0	0.7168	1667530500.0
0.7966667	1103923100.0	0.8144	2265182200.0
0.88666666	986736100.0	0.8744	1292026200.0
0.85	1432788100.0	0.8528	1317238500.0
0.8333333	1548044000.0	0.8592	1312491100.0
0.87666667	1398914600.0	0.912	1251261800.0
0.89666665	1301921900.0	0.9024	1332928300.0
0.89	1269255400.0	0.92	771782850.0
0.9	1198721200.0	0.8976	945131460.0
0.9066667	1126946300.0	0.9224	742162900.0
0.9066667	1036134000.0	0.9136	789872450.0
0.92333335	958199230.0	0.9392	533539420.0
0.92	899515970.0	0.9192	530219520.0
0.8933333	911742340.0	0.9176	441609470.0
0.8833333	843251900.0	0.92	372445500.0
0.8933333	793700000.0	0.9	345465700.0
0.9066667	667654600.0	0.92	350772960.0
0.93	602804800.0	0.9336	416971780.0
0.95	569297150.0	0.9632	156275440.0
0.9533333	552186500.0	0.9528	253318560.0
0.9533333	531673630.0	0.9624	261052510.0
0.94	530314530.0	0.9672	176206720.0
0.93666667	585624300.0	0.9576	224754930.0
0.9266667	611072450.0	0.9672	179396580.0
0.93333334	633391100.0	0.9496	147309820.0
0.94	640261400.0	0.9688	131154616.0
0.94	599600060.0	0.9568	203808350.0
0.9433333	528578430.0	0.964	132524460.0
0.9433333	473220770.0	0.9616	182202850.0
0.95	428593250.0	0.9704	135591580.0
0.95666665	424122880.0	0.9696	119773224.0
0.9533333	425914050.0	0.9688	123662984.0
0.9533333	422787230.0	0.9728	114474090.0
0.9533333	412239780.0	0.9744	79655810.0
0.9533333	401747520.0	0.9816	74015630.0
0.95666665	390628700.0	0.9864	53306760.0
0.96	375735260.0	0.9752	140229200.0
0.97	367296770.0	0.9816	70590370.0
0.97	361686100.0	0.9848	73809300.0
0.97	356074530.0	0.9744	70403810.0
0.96	351850700.0	0.9784	87547780.0
0.9533333	363224220.0	0.9768	56068644.0
0.9533333	372403520.0	0.9744	77282070.0
0.95	373568350.0	0.984	32383452.0
0.95	372361380.0	0.9824	54106980.0
0.95	369120900.0	0.9808	42681830.0
0.95	363790140.0	0.984	39836748.0
0.95	348608960.0	0.9888	38414300.0
0.9533333	332120060.0	0.9832	48998530.0
0.9533333	319640220.0	0.9888	45243276.0
0.9533333	304322370.0	0.9864	21655556.0
0.95666665	293113200.0	0.9864	42228750.0
0.9633333	286993900.0	0.9872	43792864.0
0.96666664	282576930.0	0.9888	24059080.0
0.97	280248700.0	0.9896	34109412.0
0.9633333	279617120.0	0.9864	35968420.0
0.9633333	281880260.0	0.9816	37613980.0
0.96666664	281350820.0	0.9824	40319424.0
0.9633333	283802020.0	0.9904	23252724.0
0.95666665	287608930.0	0.9912	24745776.0
0.95666665	288848540.0	0.9832	49584364.0
0.95666665	288879840.0	0.9864	34018556.0
0.96	289719230.0	0.9888	17366476.0
0.95666665	291007680.0	0.9928	14212281.0
0.95666665	291756640.0	0.9904	12775243.0
0.95666665	293877120.0	0.9872	13348813.0
0.95666665	295294600.0	0.9888	14356832.0
0.95	297400770.0	0.9896	15007307.0
0.95	299181540.0	0.988	20965188.0
0.95	300101340.0	0.9928	17391530.0
0.9533333	296796160.0	0.9912	15012664.0
0.9533333	288492580.0	0.9912	11498662.0
0.9533333	279741660.0	0.9952	4909286.0
0.95666665	270902270.0	0.9944	13566570.0
0.96	263415840.0	0.9888	21152546.0
0.96	258068980.0	0.9928	11796015.0
0.96	259425220.0	0.988	15202581.0
0.95666665	261394580.0	0.9904	12830776.0
0.95666665	263879630.0	0.9928	10896056.0
0.95666665	266487200.0	0.9936	7145663.5
0.95666665	268312530.0	0.996	8245702.0
0.95666665	267403310.0	0.9904	18878192.0
0.96	265282110.0	0.992	12417226.0
0.96	263866200.0	0.9976	5250493.5
0.96	263638820.0	0.9992	2822390.0
0.96	260643660.0	0.9952	11222719.0
0.9633333	254688980.0	0.9984	5754693.0
0.9633333	250123410.0	0.9936	7981587.0
0.9633333	246143820.0	0.9912	12437338.0
0.9633333	242549250.0	0.9928	7287907.0
0.9633333	239588140.0	0.9968	8294548.5
0.9633333	237525730.0	0.9976	7206339.5
0.9633333	235829800.0	0.996	8263824.0
0.96666664	234316000.0	0.9976	6368930.0
0.96666664	233619970.0	0.9928	11143886.0
0.96666664	232423920.0	0.9976	4854137.0
0.96666664	231879360.0	0.9968	6159212.0
0.96666664	231725280.0	0.9952	5368329.5
0.96666664	231550400.0	0.9968	4291383.5
0.96666664	231847440.0	0.996	5898861.0
0.96666664	232542780.0	0.9936	12099835.0
0.96666664	233462300.0	0.9992	2928141.5
0.9633333	234297760.0	0.9968	3419939.8
0.9633333	234717330.0	0.9952	6654746.0
0.9633333	235093040.0	1.0	2543402.0
0.9633333	234590750.0	0.9936	14085553.0
0.96666664	233800380.0	0.996	5418489.0
0.96666664	233590860.0	0.9976	2711438.2
0.96666664	233273460.0	0.9976	4278148.5
0.96666664	233122220.0	0.9992	4446763.0
0.96666664	232730860.0	0.9984	4630039.5
0.96666664	232004400.0	0.9976	6613535.5
0.96666664	231593570.0	0.9976	5039342.5
0.96666664	231221660.0	1.0	2537514.2
0.96666664	230884420.0	1.0	2536768.2
0.96666664	230446200.0	0.9984	3014815.2
